sku,ean,descrizione,marchio,categoria1,categoria2,categoria3,prezzo_vendita,prezzo_pubblico,link_icecat,thumb_url,scheda_tecnica_presente
382985,8059019088938,H6ID25G3YTB1 FORNO 60CM 78LT MULTIF.PIZZA/AIRFRY A++ WIFI PIR.,HAIER,GED INCASSO,FORNI,ELETTR. MULTIFUNZ.,432.39,549.0,,,NO
383328,4242002917290,MSM14200 FRULL.IMMERS. 400W 4LAME INOX C/TRITATUTTO BIANCO,BOSCH,PED LINEA CUCINA,PREPARAZIONE CIBI,FRULLATORI AD IMMERSIONE,30.01,36.9,,,NO
383527,8059019095165,BS410B10S LAV.C/FRONT 10KG 1400GIRI CE.A-40% INV VAPORE WIFI,CANDY,GED LAVAGGIO,LAVATRICI CARICA FRONTALE,"DA 10 A 10,99 KG",468.24,599.0,,,NO
383758,8059019099507,BWS4128B8S LAVASC.C/F.1400G L.12KG-ASC.8KG CE.D INV VAP WIFI,CANDY,GED LAVAGGIO,LAVASCIUGA,CARICA FRONTALE,538.94,699.0,,,NO
383933,753759337971,0100290300 SMART WATCH 43MM FENIX 8 SILVER/WHITESTONE,GARMIN,TELEFONIA,TELEFONIA MOBILE,SMARTWATCH,753.32,799.9,,,NO
384456,4242005493272,WGB254A1IT LAV.C/FRONT 10KG 1400GIRI CE.A-20% WIFI I-DOS,BOSCH,GED LAVAGGIO,LAVATRICI CARICA FRONTALE,"DA 10 A 10,99 KG",998.13,1349.0,,,NO
385514,3838782921605,BI350XPZ FORNO 60CM 77LT MULTIF.PIZZA CL.A+ PIROLITICO INOX,HISENSE,GED INCASSO,FORNI,ELETTR. MULTIFUNZ.,461.76,599.0,,,NO
385732,8003437645624,5KEK1701EER BOLLITORE EL.2400W 1.7LT TEMP.REG. ROSSO IMPERIALE,KITCHENAID,PED LINEA CUCINA,PREPARAZIONE CIBI,BOLLITORI,145.09,199.0,,,NO
385737,8003437644979,5KMT2109EER TOSTAPANE 980W 7REG.DORAT. 2SCOMP. ROSSO IMPERIALE,KITCHENAID,PED LINEA CUCINA,COTTURA,TOSTIERE VERT.,145.09,199.0,,,NO
385811,8057971101580,P604LLAGXV P.COTT.GAS 60CM 4F WOK G.GHISA INOX,BERTAZZONI LA GERMANIA,GED INCASSO,PIANI COTTURA,A GAS,132.53,199.0,,,NO
386972,8435484043410,4341 COOKING MACHINE 1600W 3.3LT 37FUNZ. MAMBO 11090,CECOTEC,PED LINEA CUCINA,PREPARAZIONE CIBI,COOKING MACHINE,222.3,279.0,,,NO
387040,3221616130012,GZ5035 LAVA/ASPIRA RIC. 200W AUT.50MIN. X-CLEAN 4,ROWENTA,PED LINEA PULIZIA,PULITORI ACQUA/VAPORE,LAVAPAVIMENTI AD ACQUA,247.96,399.0,,,NO
387229,8056446510797,CC83EXBX FRIGO 4P. 436LT CE.E NOFROST INV. D.LED INOX NERO,GRF,GED REFRIGERAZIONE,FRIGO 3 PORTE/OLTRE,NO FROST,552.46,999.0,,,NO
